Flight No.,Date andtime (UTC),"Version,Booster[a]",Launch site,Payload[b],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launchsite,"Version,booster[a]","Version,booster[c]",Payload[d],Description
58,22 July 201805:50,F9 B5B1047.1,"CCSFS,SLC-40",Telstar 19V,"7,075 kg (15,598 lb)",GTO,Telesat,Success,Success(drone ship),,,,,"SSL-manufactured communications satellite intended to be placed at 63.0° west over the Americas,replacing Telstar 14R.At 7,075 kg (15,598 lb), it became the heaviest commercial communications satellite so far launched.This necessitated that the satellite be launched into a lower-energy orbit than a usual GTO, with its initial apogee at roughly 17,900 km (11,100 mi)."
59,25 July 201811:39,F9 B5B1048.1,"VSFB,SLC-4E",Iridium NEXT-7(10 satellites),"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,Success(drone ship),,,,,"Seventh Iridium NEXT launch, with 10 communication satellites.The booster landed safely on the drone ship in the worst weather conditions for any landing yet attempted.Mr. Stevenboat with an upgraded 4x size net was used to attempt fairing recovery but failed due to harsh weather."
60,7 August 201805:18,F9 B5♺B1046.2,"CCSFS,SLC-40",Merah Putih(formerly Telkom-4),"5,800 kg (12,800 lb)",GTO,Telkom Indonesia,Success,Success(drone ship),,,,,Indonesian comsat intended to replace the agingTelkom-1at 108.0° East.First reflight of a Block 5-version booster.
61,10 September 201804:45,F9 B5B1049.1,"CCSFS,SLC-40",Telstar 18V/Apstar-5C,"7,060 kg (15,560 lb)",GTO,Telesat,Success,Success(drone ship),,,,,"Condosatfor 138.0° East over Asia and Pacific.Delivered to a GTO orbit with apogee close to 18,000 km (11,000 mi)."
62,8 October 201802:22,F9 B5♺B1048.2,"VSFB,SLC-4E",SAOCOM 1A,"3,000 kg (6,600 lb)",SSO,CONAE,Success,Success(ground pad),,,,,Argentinian Earth-observation satellite was originally intended to be launched in 2012.First landing on theWest Coast ground padcalledSpaceX Landing Zone 4.
63,15 November 201820:46,F9 B5♺B1047.2,"KSC,LC-39A",Es'hail 2,"5,300 kg (11,700 lb)",GTO,Es'hailSat,Success,Success(drone ship),,,,,"Qatari comsat positioned at 26.0° east.This launch used redesignedCOPVs. This was to meet NASA safety requirements for commercial crew missions, in response to the September 2016, pad explosion."
64,3 December 201818:34:05,F9 B5♺B1046.3(SHERPA),"VSFB,SLC-4E",SSO-A(SmallSat Express),"~4,000 kg (8,800 lb)",SSO,Spaceflight Industries,Success,Success(drone ship),,,,,"Rideshare missionwhere twoSHERPAdispensersdeployed 64 small satellites,includingEu:CROPISfor the GermanDLR, HIBER-2 for the Dutch Hiber Global,ITASAT-1 for the BrazilianInstituto Tecnológico de Aeronáutica,two high-resolutionSkySatimaging satellites forPlanet Labs,and two high school CubeSats part of NASA'sELaNa 24.This was the first time a booster was used for a third flight."
65,5 December 201818:16,F9 B5B1050,"CCSFS,SLC-40",SpaceX CRS-16(Dragon C112.2 ♺ ),"2,500 kg (5,500 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Failure(ground pad),,,,,"First CRS mission with the Falcon 9 Block 5. This carried theGlobal Ecosystem Dynamics Investigation lidar(GEDI) as an external payload.The mission was delayed by one day due to moldy rodent food for one of the experiments on the Space Station. A previously flown Dragon spacecraft was used for the mission. The booster, in use for the first time, experienced a grid fin hydraulic pump stall on reentry, which caused it to spin out of control and touchdown at sea, heavily damaging the interstage section; this was the first failed landing targeted for a ground pad."
66,23 December 201813:51,F9 B5B1054,"CCSFS,SLC-40",GPS III-01(Vespucci),"4,400 kg (9,700 lb)",MEO,USAF,Success,No attempt,,,,,"Initially planned for a Delta IV launch,this was SpaceX's first launch of anEELV-class payload.There was no attempt to recover the first-stage booster for reusedue to the customer's requirements, including a high inclination orbit of 55.0°.NicknamedVespucci, the USAF marked the satellite operational on 1 January 2020, under the label SVN 74."
67,11 January 201915:31,F9 B5♺B1049.2,,Iridium NEXT-8(10 satellites),"9,600 kg (21,200 lb)",PolarLEO,Iridium Communications,Success,Success(drone ship),"VSFB,SLC-4E",,,,"Final launch of the Iridium NEXT contract, launching 10 satellites."
68,22 February 201901:45,F9 B5♺B1048.3,,Nusantara Satu(PSN-6)BeresheetMoon landerS5,"4,850 kg (10,690 lb)",GTO,PSNSpaceIL/IAIAir Force Research,Success,Success(drone ship),"CCSFS,SLC-40",,,,"Nusantara Satu is a private Indonesian comsat planned to be located at 146.0° east,with a launch mass of 4,100 kg (9,000 lb),and featuringelectric propulsionfor orbit-raising and station-keeping.S5, a 60-kg smallsat by theAir Force Research Laboratory(AFRL), was piggybacked onNusantara Satu, and was deployed near its GEO position to perform a classified space situational awareness mission. This launch opportunity was brokered bySpaceflight Industriesas ""GTO-1"".TheBeresheetMoon lander (initially calledSparrow) was one of the candidates for theGoogle Lunar X-Prize, whose developersSpaceILhad secured a launch contract with Spaceflight Industries in October 2015.Its launch mass was 585 kg (1,290 lb) including fuel.After separating into asupersynchronous transfer orbitwith an apogee of 69,400 km (43,100 mi),Beresheetraised its orbit by its own power over two months and flew to the Moon.After successfully getting into lunar orbit, Beresheet attempted to land on the Moon on 11 April 2019, but failed."
69,2 March 201907:49,F9 B5B1051.1,,Crew Dragon Demo-1(Dragon C204),"12,055 kg (26,577 lb)[g]",LEO(ISS),NASA(CCD),Success,Success(drone ship),"KSC,LC-39A",,,,"First flight of the SpaceXCrew Dragon. This was the first demonstration flight for theNASA Commercial Crew Programwhich awarded SpaceX a contract in September 2014, with flights hoped as early as 2015.The Dragon performed an autonomous docking to the ISS 27 hours after launch with the hatch being opened roughly 2 hours later.The vehicle spent nearly a week docked to the ISS to test critical functions. It undocked roughly a week later on 8 March 2019, and splashed down six hours later at 13:45.The Dragon used on this flight was scheduled to fly on the inflight abort test in mid-2019, but was destroyed during testing.The booster B1051.1 replacedB1050and flew again on 12 June 2019."
70,4 May 201906:48,F9 B5B1056.1,,SpaceX CRS-17(Dragon C113.2 ♺ ),"2,495 kg (5,501 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"CCSFS,SLC-40",,,,"ACommercial Resupply Service missionto theInternational Space Stationcarrying nearly 2.5 tons of cargo including theOrbiting Carbon Observatory-3as an external payload.Originally planned to land at Landing Zone 1, the landing was moved to the drone ship after a Dragon 2 had an anomaly during testing at LZ-1."
71,24 May 201902:30,F9 B5♺B1049.3,,Starlinkv0.9(60 satellites),"13,620 kg (30,030 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,,,"Following the launch of the two Tintin test satellites, this was the first full-scale test launch of the Starlink constellation, launching ""production design"" satellites.Each Starlink satellite has a mass of 227 kg (500 lb),and the combined launch mass was 13,620 kg (30,030 lb) the heaviest payload launched by SpaceX at that time.The fairings were recoveredand reused for Starlink L5 in March 2020.These are the first commercial satellites to usekryptonas fuel for theirion thrusters, which is cheaper than the usualxenonfuel."
72,12 June 201914:17,F9 B5♺B1051.2,,RADARSAT Constellation(3 satellites),"4,200 kg (9,300 lb)",SSO,Canadian Space Agency(CSA),Success,Success(ground pad),"VSFB,SLC-4E",,,,"A trio of satellites built for Canada's RADARSAT program were launched that plan to replace the agingRadarsat-1andRadarsat-2. The new satellites contain Automated Identification System (AIS) for locating ships and provide the world's most advanced, comprehensive method of maintaining Arctic sovereignty, conducting coastal surveillance, and ensuring maritime security.The mission was originally scheduled to lift off in February but due to the landing failure of boosterB1050, this flight was switched to B1051 (used onCrew Dragon Demo-1) and delayed to allow refurbishment and transport to the West coast.The booster landed safely through fog.A payload cost of $706 million CAD(around US$550 million) made this one of SpaceX's most expensive payloads launched at that time."
73,25 July 201922:01,F9 B5♺B1056.2,,SpaceX CRS-18(Dragon C108.3 ♺ ),"2,268 kg (5,000 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),"CCSFS,SLC-40",,,,"This launch carried nearly 9,000 individual unique payloads including over one ton of science experiments, the most so far launched on aSpaceX Dragon. The thirdInternational Docking Adapter(IDA-3), a replacement for the first IDA lost during theCRS-7launch anomaly, was one of the external payloads on this mission.Along with food and science, the Dragon also carried theELaNa 27RFTSat CubeSatand MakerSat-1 which will be used to demonstrate microgravity additive manufacturing. The satellite is expected to be launched by aCygnusdispenser later in July 2019.The booster used on this flight was the same used onCRS-17earlier in the year; originally, it was planned to reuse it again for theCRS-19mission later this year,but the plan was scrapped. For the first time, the twice flownDragonspacecraft also made a third flight.Also used for the first time was a gray-band painted where theRP-1 kerosenetank is located, known as Falcon long coast mission-extension kit, to help with thermal conductivity and thus saving fuel during long coasts."
74,6 August 201923:23,F9 B5♺B1047.3,,AMOS-17,"6,500 kg (14,300 lb)",GTO,Spacecom,Success,No attempt,"CCSFS,SLC-40",,,,"AMOS-17 is the most advanced high-throughput satellite to provide satellite communication services to Africa.Following the loss ofAMOS-6in September 2016, Spacecom was granted a free launch in compensation for the lost satellite.Due to the free launch, Spacecom was able to expend the booster with no extra cost that comes with expending a booster, and thus could reach final orbit quicker. This booster became the second Block 5 booster to be expended.For the second time,Ms. Treemanaged to catch a fairing half directly into its net."
75,11 November 201914:56,F9 B5♺B1048.4,,Starlink1 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",,,,"Second large batch of Starlink satellites and the first operational mission of the constellation, it launched in a roughly 290 km (180 mi) orbit at an inclination of 53.0°. At 15,600 kg (34,400 lb), it is the heaviest payload so far launched by SpaceX, breaking the record set by the Starlink v0.9 flight earlier that year.This flight marked the first time that a Falcon 9 booster made a fourth flight and landing.This was also the first time that a Falcon 9 re-used fairings (from ArabSat-6A in April 2019).It was planned to recover the fairings with bothMs. TreeandMs. Chiefbut the plan was abandoned due to rough seas."
76,5 December 201917:29,F9 B5B1059.1,,SpaceX CRS-19(Dragon C106.3 ♺ ),"2,617 kg (5,769 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"CCSFS,SLC-40",,,,"Second re-supply flight to use a Cargo Dragon for the third time.This flight carried Robotic Tool Stowage (RiTS), a docking station that allows equipment that looks for leaks on the Space Station be stored on the outside. Also on board were upgrades for theCold Atom Laboratory (CAL). Onboard experiments include the testing of the spread of fire in space, mating barley in microgravity and experiments to test muscle and bone growth in microgravity.Secondary payloads include the Hyperspectral Imager Suite (HISUI), an experiment to image high resolution across all colours of the light spectrum, allowing for imaging of soil, rocks, vegetation, snow, ice and man-made objects. Additionally, there were three CubeSats from NASA'sELaNa 28mission,including the AztechSat-1 satellite built by students in Mexico."
77,17 December 201900:10,F9 B5♺B1056.3,,JCSat-18/Kacific 1,"6,956 kg (15,335 lb)",GTO,Sky Perfect JSATKacific 1,Success,Success(drone ship),"CCSFS,SLC-40",,,,"Singaporean-JapaneseCondoSatthat will cover the Asia-Pacific region.Due to the heavy weight of the payload, it was injected into a lower energy sub-synchronous orbit of 20,000 km (12,000 mi); the satellite itself will transfer to full GTO. This was the third Falcon 9 launch for JSAT and the previous two were in 2016. SpaceX successfully landed B1056.3 but both fairing halves missed the recovery boatsMs. TreeandMs. Chief."
78,7 January 202002:19:21,,,Starlink2 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1049.4,,,"Third large batch and second operational flight of Starlink constellation. One of the 60 satellites included a test coating to make the satellite less reflective, and thus less likely to interfere with ground-based astronomical observations."
79,19 January 202015:30,,,Crew Dragon in-flight abort test(Dragon C205.1),"12,050 kg (26,570 lb)",Sub-orbital,NASA(CTS),Success,No attempt,"KSC,LC-39A",F9 B5♺B1046.4,,,"An atmospheric test of theDragon 2abort system afterMax Q. The capsule fired itsSuperDracoengines, reached an apogee of 40 km (25 mi), deployed parachutes, andsplashed downin the ocean 31 km (19 mi) downrange from the launch site. The test was previously slated to be accomplished with theCrew Dragon Demo-1capsule;but that test article exploded during a ground test of SuperDraco engines on 20 April 2019.The abort test used the capsule originally intended for the first crewed flight.As expected, the booster was destroyed by aerodynamic forces after the capsule aborted.First flight of a Falcon 9 with only one functional stage — the second stage had amass simulatorin place of its engine."
80,29 January 202014:07,,,Starlink3 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1051.3,,,"Third operational and fourth large batch of Starlink satellites, deployed in a circular 290 km (180 mi) orbit. One of the fairing halves was caught, while the other was fished out of the ocean."
81,17 February 202015:05,,,Starlink4 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Failure(drone ship),"CCSFS,SLC-40",F9 B5♺B1056.4,,,Fourth operational and fifth large batch of Starlink satellites. Used a new flight profile which deployed into a 212 km × 386 km (132 mi × 240 mi) elliptical orbit instead of launching into a circular orbit and firing the second stage engine twice. The first stage booster failed to land on the drone shipdue to incorrect wind data.This was the first time a flight proven booster failed to land.
82,7 March 202004:50,,,SpaceX CRS-20(Dragon C112.3 ♺ ),"1,977 kg (4,359 lb)(excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(ground pad),"CCSFS,SLC-40",F9 B5♺B1059.2,,,"Last launch of phase 1 of the CRS contract. CarriesBartolomeo, anESAplatform for hosting external payloads onto ISS.Originally scheduled to launch on 2 March 2020, the launch date was pushed back due to a second stage engine failure. SpaceX decided to swap out the second stage instead of replacing the faulty part.It was SpaceX's third flight of the Dragon C112 and the last launch of theCargo Dragonspacecraft."
83,18 March 202012:16,,,Starlink5 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Failure(drone ship),"KSC,LC-39A",F9 B5♺B1048.5,,,"Fifth operational launch of Starlink satellites. It was the first time a first stage booster flew for a fifth time and the second time the fairings were reused (Starlink flight in May 2019).Towards the end of the first stage burn, the booster suffered premature shut down of an engine, the first of aMerlin 1Dvariant and first since the CRS-1 mission in October 2012. However, the payload still reached the targeted orbit.This was the second Starlink launch booster landing failure in a row, later revealed to be caused by residual cleaning fluid trapped inside a sensor."
84,22 April 202019:30,,,Starlink6 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1051.4,,,"Sixth operational launch of Starlink satellites. The 84th flight of the Falcon 9 rocket, it surpassedAtlas Vto become the most-flown operational US rocket.Used fairings launched on AMOS-17 (August 2019)."
85,30 May 202019:22,,,Crew Dragon Demo-2(Crew Dragon C206.1Endeavour),"12,530 kg (27,620 lb)",LEO(ISS),NASA(CCDev),Success,Success(drone ship),"KSC,LC-39A",F9 B5B1058.1,,,"First crewed orbital spaceflight from American soil since Space ShuttleSTS-135in July 2011, carryingNASAastronautsBob BehnkenandDoug Hurleyto theInternational Space Station.The SpaceX live stream was peaked at 4.1 million viewers, while NASA estimated roughly 10 million people watched on various online platforms, and approximately 150,000 people gathered on Florida'sspace coastdespite the risks of theCOVID-19 pandemic."
86,4 June 202001:25,,,Starlink7 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1049.5,,,"Seventh operational launch of Starlink satellites, occurred on the 10th anniversary of the first Falcon 9 flight. Included ""VisorSat"" satellite test that uses a sunshade to limit reflectivity.First booster to successfully land five times, and first to land onJust Read The Instructionssince it was moved to theEast Coast."
87,13 June 202009:21,,,"Starlink8 v1.0 (58 satellites),SkySats-16, -17, -18","15,410 kg (33,970 lb)",LEO,SpaceXPlanet Labs,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1059.3,,,"Eighth operational launch of Starlink satellites, included the firstridesharein SpaceX'sSmallSat Program, of threeSkySatsatellites.One payload fairing half launched onJCSat-18/Kacific 1mission in December 2019. The other payload fairing half flew on Starlink 2 v1.0 in January 2020.For the first time, SpaceX did not perform a static fire before launch."
88,30 June 202020:10:46,,,GPS III-03(Matthew Henson),"4,311 kg (9,504 lb)",MEO,U.S. Space Force,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5B1060.1,,,"Payload manufacturing contract awarded January 2012,fully assembled in August 2017,and completed thermal vacuum testing in June 2018.Launch contract was awarded initially for US$96.5 million,but later, this was discounted in exchange for allowing to launch configuration enabling booster recovery.The vehicle nicknamedColumbuswas transported to Florida in February 2020,but launch was delayed by the customer from April 2020, due to theCOVID-19pandemic.The launch was dedicated to the memory of the recently deceased, late commander of the21st Space Wing, Colonel Thomas G. Falzarano,and after launch, in October 2020, the nickname was changed to that of the Arctic explorerMatthew Henson.For second time, the second stage featured a gray banded Falcon long coast mission-extension kit, to allow more heat to be absorbed during the longer coasting period,while both fairings were recovered out of the water without attempting a catch in the net."
89,20 July 202021:30,,,ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Republic of Korea Army,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1058.2,,,"At 5–6 tonnes, the satellite formerly known asK-Milsat-1is South Korea's first dedicated military satellite. Contracted by South Korea'sDefense Acquisition Program Administrationin 2014.57th successful recovery of a Falcon 9 first stage. For the first time both fairing halves were also successfully caught byfairing catching ships.This launch featured a booster reflight within 51 days, a new record turnaround time for a Falcon booster.It was the same booster that launched theCrew Dragon Demo-2spacecraft on 30 May 2020.The satellite was delivered to asuper-synchronous transfer orbitof 211 km × 45,454 km (131 mi × 28,244 mi), while both fairing halves were caught in the catch nets of the supports ships."
90,7 August 202005:12,,,"Starlink9 v1.0 (57 Satellites),SXRS-1 (BlackSky Global 7 and 8)","14,932 kg (32,919 lb)",LEO,SpaceXSpaceflight Industries(BlackSky),Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1051.5,,,"Ninth operational launch of Starlink satellites. This mission carried 57 Starlink satellites and twoBlackSkysatellites as rideshare.This first rideshare contracted with Spaceflight Industries was dubbed internally as ""SXRS-1"".After previously testing on a single Starlink, the launch will have all 57 satellites include a ""VisorSat"" to reduce their brightness."
91,18 August 202014:31,,,"Starlink10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg (34,040 lb)",LEO,SpaceXPlanet Labs,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1049.6,,,"Tenth operational launch of Starlink satellites. Starlink flight including threeSkySatrideshare satellites.First time a booster made a 6th flight.The fairings previously flew on Starlink 3 v1.0. One fairing half was caught byGo Ms. Tree, the other was scooped out of the ocean."
92,30 August 202023:18,,,SAOCOM 1BGNOMES 1Tyvak-0172,"3,130 kg (6,900 lb)",SSO,CONAEPlanetIQTyvak,Success,Success(ground pad),"CCSFS,SLC-40",F9 B5♺B1059.4,,,"The 100th launch in SpaceX's history, first time a commercial launch on a fourth launch of a booster, it deployed Earth-observing satellites built by Argentina's space agency CONAE and two rideshares. SpaceX was contracted in 2009 for an initial launch as early as 2013.Originally planned for launch from Vandenberg but launched from Cape Canaveral, which made it the first flight from there using the southern corridor to a polar orbit since 1969."
93,3 September 202012:46:14,,,Starlink11 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1060.2,,,"Eleventh operational launch of Starlink satellites, bringing the total to 713 launched Starlink satellites."
94,6 October 202011:29:34,,,Starlink12 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1058.3,,,"Twelfth operational launch of Starlink satellites, which for the first time used a fairing half on its third launch.Also, theB1058holds the title for the shortest time a booster reached 3 flights which is 129 days beating B1046 by 77 days."
95,18 October 202012:25:57,,,Starlink13 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1051.6,,,Thirteenth operational launch of Starlink satellites. Second time a booster was flown six times and first time both fairing halves were flown a third time. Both fairing halves landed on their respective ships but one fairing broke the net on Ms Tree.
96,24 October 202015:31:34,,,Starlink14 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1060.3,,,Fourteenth operational launch of Starlink satellites and the 100th successful launch of a Falcon vehicle.
97,5 November 202023:24:23,,,GPS III-04(Sacagawea),"4,311 kg (9,504 lb)",MEO,USSF,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5B1062.1,,,"Manufacturing contract awarded in January 2012,underwent thermal vacuum testing in December 2018,while the launch contract was awarded in March 2018.A launch attempt on 3 October 2020, was aborted two seconds before liftoff due to early start in two engines.Following the abort, two engines from B1062 were sent for further testing.The abort also caused delays to the Crew-1 launch to allow time for data review."
98,16 November 202000:27,,,Crew-1(Crew Dragon C207.1Resilience),"~12,500 kg (27,600 lb)",LEO(ISS),NASA(CCP),Success,Success(drone ship),"KSC,LC-39A",F9 B5B1061.1,,,"First crew rotation of the commercial crew program, following the return in August of the crewed test flight missionCrew Demo 2. Originally designated ""USCV-1"" by NASA. Carried astronautsVictor Glover,Mike Hopkins,Shannon WalkerandSoichi Noguchi, for a 6-month stay aboard the ISS, during which theBoeing StarlinerOFTflight launched but was unable to dock as expected.The first flight of the crew program was initially expected to launch in 2017,and finished final certifications in November 2020."
99,21 November 202017:17:08,,,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",LEO,NASA/NOAA/ESA/EUMETSAT,Success,Success(ground pad),"VSFB,SLC-4E",F9 B5B1063.1,,,"Named after the former director of NASA's Earth science program, it is a radar altimeter satellite part of theOcean Surface Topographyconstellation located at 1,336 km (830 mi) and 66°inclination, and a follow-up toJason 3as a partnership between the United States (NOAAandNASA),Europe(EUMETSAT,ESA,CNES)."
100,25 November 202002:13,,,Starlink15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1049.7,,,First time a booster was launched for a seventh time and first time SpaceX completed four launches in a single month.
101,6 December 202016:17:08,,,SpaceX CRS-21(Dragon C208.1),"2,972 kg (6,552 lb) (excl. Dragon mass)",LEO(ISS),NASA(CRS),Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1058.4,,,"First launch ofphase 2 of the CRS contractof six launches awarded in January 2016.It was the first launch of the upgraded version Cargo Dragon 2 spacecraft, with increased payload capacity and autonomous docking to the ISS. Payloads includedNanoracks Bishop Airlockand CFIG-1 (Cool Flames Investigation with Gases).It's also the 100th successful Falcon 9 launch."
102,13 December 202017:30:00,,,SXM-7,"7,000 kg (15,000 lb)",GTO,Sirius XM,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1051.7,,,"Launched the largest, high-power broadcasting satellite for SiriusXM'sdigital audio radio service(DARS). SXM-7 was built byMaxar Technologies; intended to operate in theS-bandspectrum, it will replace the SXM-3 satellite. The satellite will deliver the highest power density of any commercial satellite on-orbit,generate more than 20 kW of power, and have a large unfoldable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground. Due to the heavy weight, the payload was injected into a sub-synchronous orbit of 224 km × 19,411 km (139 mi × 12,061 mi) and the satellite itself will transfer to full GTO.It was the first time a commercial primary payload flew on a booster which had been flown more than 4 times before.First dedicated customer launch where the fairings were previously used."
103,19 December 202014:00:00,,,NROL-108,Classified,LEO,NRO,Success,Success(ground pad),"KSC,LC-39A",F9 B5♺B1059.5,,,"The planned launch was not known by the public until FCC filings appeared in late September followed by confirmation from the NRO on 5 October 2020, likely a relatively light payload that allows the return of the booster to the launch site."
104,8 January 202102:15,,,Türksat 5A,"3,500 kg (7,700 lb)",GTO,Türksat,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1060.4,,,"A 3,500 kg (7,700 lb) satellite intended to be stationed at 31.0° east.This is the most powerful satellite in Türksat's fleetand will provideKu-bandtelevision broadcast services overTurkey, theMiddle East,EuropeandAfrica. The satellite was injected in to aSuper-synchronous transfer orbitof 280 km × 55,000 km (170 mi × 34,180 mi) with 17.6°inclination."
105,20 January 202113:02:22,,,Starlink16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1051.8,,,The first booster to successfully launch and land eight times. Achieved a record turnaround time between two launches of the same booster of only 38 days and brought the total of launched Starlink satellites to over 1000.SpaceX stated that the landing would occur during higher winds than usual; this test to expand the landing envelope was successfully passed by the booster.
106,24 January 202115:00,,,Transporter-1: (143 smallsat rideshare),"~5,000 kg (11,000 lb)",SSO,Various,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1058.5,,,"First dedicated smallsat rideshare launch arranged by SpaceX, targeting a 525 km (326 mi)altitudeorbit.The launch deployed a record 143 satellites, consisting of 120CubeSats, 11microsatellites, 10Starlinks, and 2 transfer stages. In addition, 2 hosted payloads and 1 non-separating dummy satellitewere launched.These includeSpaceBEE(x 36),Lemur-2(x 8),ICEYE(x 3), UVSQ-SAT,ELaNa 35(PTD-1),and Kepler nanosats (x 8).D-OrbitION Satellite Carrierand 10Starlinksatellites made for testing optical laser inter-satellite links placed in a polar orbitand 2 of 15 payloads remained attached toSHERPA-FX1.Exolaunchdeployed several small satellites and cubesats via their own deployment mechanisms. First flight of a Falcon 9 with aSHERPA-FXtransfer stage called SHERPA-FX1."
107,4 February 202106:19,,,Starlink18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1060.5,,,"This set a new booster turnaround record, at 27 days, and it was the first time a Falcon 9 flew twice within a month."
108,16 February 202103:59:37,,,Starlink19 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Failure(drone ship),"CCSFS,SLC-40",F9 B5♺B1059.6,,,"A hole in a heat-shielding engine cover, which likely developed through fatigue, allowed recirculating hot exhaust gases to damage one of theMerlin 1Dfirst-stage engines, causing it to shut down early during ascent.Engine-out capabilityof the Falcon 9 allowed the mission to continue and successfully deploy the 60 Starlink satellites to orbit.The issue caused the booster to fail its landing attempt and miss the droneshipOf Course I Still Love You(OCISLY) after its entry burn, breaking the longest streak of 24 landing successes (since surpassed).During this mission,GO Ms. TreeandGO Ms. Chiefwere used for the last time to recover the fairings;SpaceX retired the fairing catching program in favor of fairing fishing.Both fairing catching ships were retired from SpaceX use."
109,4 March 202108:24:54,,,Starlink17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1049.8,,,"Launch had previously been postponed multiple times, causing the payload Starlink L17 to launch after the L18 and L19 missions. Featured for the first time, a fairing which was flying on its fourth flight.The second-stage deorbit burn failed, causing an uncontrolled reentry on 26 March 2021, over the west coast of the United States."
110,11 March 202108:13:29,,,Starlink20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1058.6,,,"Twentieth operational launch of Starlink satellites, bringing the total to 1,265 (including prototypes) launched Starlink satellites."
111,14 March 202110:01:26,,,Starlink21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"KSC,LC-39A",F9 B5♺B1051.9,,,"First time a first-stage booster flew and landed for the ninth time. This flight also marked the fastest turnaround time for a fairing half, at 49 days. Both fairing halves previously flew on theTransporter-1mission."
112,24 March 202108:28:24,,,Starlink22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,SpaceX,Success,Success(drone ship),"CCSFS,SLC-40",F9 B5♺B1060.6,,,"Fairing ""wet recovery"" achieved by contracted recovery vesselShelia Bordelonfor the first time. Both fairing halves were retrieved from the water."
